Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,C19702
"C10, C11",0402,2,10pF,C32949
"C12, C15, C16, C17, C18, C3, C4, C7",0402,8,.1uF,C1525
"C14, C6",0402,2,1uF,C52923
C9,0402,1,0.8pF,C5448872
D1,D_SOD-123,1,D_Schottky,C82288
D2,0603,1,LED GREEN,C12624
D3,0603,1,LED RED,C2286
D4,D_SOD-323,1,"PDZ3.3B,115",C426855
J1,USB_Micro-B_Wuerth_614105150721_Vertical,1,USB_OTG,C668588
J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,OM UI Board,C144395
J8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Shell Stop,C144394
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Rain,C2910525
L1,0402,1,3.9nH,C370223
L2,0402,1,2.0nH,C963978
L3,0402,1,24nH,C401493
"R1, R2",0402,2,0,C17168
"R10, R11, R12, R6, R7",0603,5,10k,C25804
"R3, R4, R5",0603,3,22	,C23345
R8,0603,1,200	,C8218
R9,0603,1,220,C22962
S1,SW_TS-1187A-B-A-B,1,RST,C318884
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9555PWR,C465732
U4,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3-FH4R2,C3013940
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz 10.5pF ±10ppm,C18209006
